model_generation,abnativ_model,variant,overall_score,FR_score,CDR1_score,CDR2_score,CDR3_score
AbNatiV1,VH,parental_VH,0.64765394,0.6316749,0.9005815,0.5782566,0.61372423
AbNatiV1,VH,sapiens_humanized_VH,0.880309,0.9245031,0.862095,0.8172347,0.626457
AbNatiV1,VH,humatch_humanised_VH,0.83050203,0.87188864,0.8856945,0.51139355,0.7501711
AbNatiV1,VH,anthroab_bestscore_VH,0.80642277,0.7961255,0.9963628,0.83989674,0.69707996
AbNatiV1,VLambda,parental_VL,0.90219134,0.94005805,0.6324419,0.67935514,0.9989617
AbNatiV1,VLambda,sapiens_humanized_VL,0.9980217,0.9998148,0.98330903,0.99967015,0.9981391
AbNatiV1,VLambda,humatch_humanised_VL,0.9362057,0.98465985,0.6324419,0.679356,0.9989617
AbNatiV1,VLambda,anthroab_bestscore_VL,0.98838,0.9851476,0.9999562,0.999809,0.99877816
AbNatiV2,VH2,parental_VH,0.4926669,0.54545474,0.57573384,-0.10884273,0.5429981
AbNatiV2,VH2,sapiens_humanized_VH,0.7776885,0.80015993,0.7038988,0.5154374,0.89420176
AbNatiV2,VH2,humatch_humanised_VH,0.6924883,0.7887157,0.72217655,0.010465682,0.5382416
AbNatiV2,VH2,anthroab_bestscore_VH,0.7189102,0.7185494,0.86905116,0.44442225,0.8266754
AbNatiV2,VL2,parental_VL,0.6958431,0.8253479,-0.11084449,-0.25641024,0.99055
AbNatiV2,VL2,sapiens_humanized_VL,0.9525372,0.9866391,0.6443085,0.9942182,0.98214996
AbNatiV2,VL2,humatch_humanised_VL,0.7898415,0.9414699,-0.07167268,-0.22752023,0.99527365
AbNatiV2,VL2,anthroab_bestscore_VL,0.919499,0.90199804,0.9910327,0.9523572,0.9812036
